,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage
71,Ashe,10,BOTTOM,0,5,4,5071,54,6513,True,0,False,False,False,False,0,0,0,0,9.6
72,Vayne,13,MIDDLE,1,11,5,6872,82,7397,False,0,False,False,False,False,0,0,2,0,9.52
73,Kassadin,11,BOTTOM,4,7,5,7606,95,9619,True,0,False,False,False,False,0,0,0,0,13.04
74,Kaisa,3,NONE,1,0,0,1311,16,408,True,0,False,False,False,False,0,0,0,0,18.54
75,Twitch,14,NONE,8,5,3,11442,96,12743,True,1,False,True,False,False,0,1,0,0,14.78
76,Sivir,16,NONE,4,9,9,11424,157,13430,False,0,False,False,False,False,0,0,4,0,9.11
77,KogMaw,9,NONE,3,6,3,5458,80,4957,False,0,False,False,False,False,0,0,0,2,15.5
78,Zeri,14,BOTTOM,7,9,9,11217,104,19562,True,0,False,False,False,False,0,0,0,0,15.9
79,Zeri,10,BOTTOM,7,5,3,8240,97,10036,False,0,False,False,True,False,0,0,0,1,22.49
80,Samira,18,BOTTOM,17,8,17,20116,201,42335,True,2,True,False,False,False,1,1,1,1,28.63
81,Samira,13,BOTTOM,4,9,7,10269,155,10900,False,0,False,False,False,False,0,0,2,0,14.45
82,Samira,13,BOTTOM,4,3,2,11618,208,12766,True,0,False,False,False,False,0,1,0,3,13.71
83,Samira,12,BOTTOM,4,7,5,8559,121,8713,False,0,False,False,False,False,0,0,3,0,13.1
84,Samira,17,BOTTOM,4,9,4,13676,211,13578,False,0,False,False,False,False,0,0,2,0,15.7
85,Janna,9,NONE,3,3,8,6419,5,5651,True,0,False,False,False,False,0,2,0,7,16.15
86,Karma,15,BOTTOM,4,2,13,10765,60,21477,False,0,False,False,False,False,0,0,4,3,23.32
87,Karma,3,NONE,0,0,0,756,2,594,False,0,False,False,False,False,0,0,0,0,33.56
88,Soraka,13,BOTTOM,1,1,16,8001,20,4518,True,1,True,False,False,False,1,2,0,1,5.59
89,Soraka,1,NONE,0,0,0,717,0,0,False,0,False,False,False,False,0,0,0,0,0.0
90,Janna,11,BOTTOM,0,4,9,6356,6,4044,False,0,False,False,False,False,0,0,2,0,5.59
91,Leblanc,13,MIDDLE,8,1,5,7768,89,14386,True,0,False,False,False,False,0,0,0,1,25.98
92,Leblanc,16,MIDDLE,15,7,7,12086,103,26239,False,0,False,False,False,False,0,0,1,1,35.22
93,Leblanc,17,MIDDLE,13,8,6,12283,117,29504,True,2,False,False,False,False,0,0,0,1,22.03
94,Leblanc,11,MIDDLE,2,8,5,5358,67,9191,False,0,False,False,False,False,0,0,2,0,26.32
95,Leblanc,3,NONE,0,1,0,902,11,1214,False,0,False,False,False,False,0,0,0,0,67.56
96,Leblanc,11,MIDDLE,1,3,3,6208,96,10341,False,0,False,False,False,False,0,0,0,0,37.6
