,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,Date
80,Jayce,16,MIDDLE,16,5,3,17430,174,27714,True,1,False,False,False,True,1,1,0,4,30.76,4/3/2022
81,Irelia,16,TOP,5,9,2,12714,219,16785,False,0,False,False,False,False,0,0,1,2,17.31,4/3/2022
82,Jayce,16,TOP,3,4,4,11589,191,17172,True,1,False,False,False,False,0,0,0,1,24.77,4/2/2022
83,Kayle,12,TOP,0,10,1,6149,114,8032,False,0,False,False,False,False,0,0,0,0,20.84,4/2/2022
84,Singed,17,TOP,4,9,12,13378,167,22157,True,1,False,False,False,False,0,0,0,2,25.11,4/2/2022
85,Zeri,15,TOP,2,7,5,11976,205,8166,True,1,False,True,False,False,0,0,0,0,12.31,4/2/2022
86,Jayce,15,MIDDLE,15,7,9,13635,129,21991,True,1,False,False,False,False,1,1,0,0,24.91,4/1/2022
87,Irelia,10,NONE,1,6,0,5256,97,3551,False,0,False,False,False,False,0,0,0,2,16.88,4/1/2022
88,Akali,16,TOP,12,5,5,11752,161,17840,True,0,False,False,False,False,0,1,1,3,22.93,3/31/2022
89,Jayce,16,TOP,8,8,11,13709,173,23587,True,1,False,False,False,False,1,2,0,3,29.64,3/31/2022
90,Kennen,13,TOP,4,4,5,9726,140,15093,True,0,False,False,False,False,0,0,0,3,21.08,3/31/2022
91,Kayle,12,NONE,0,5,1,6022,138,4168,False,0,False,False,False,False,0,0,2,0,16.77,3/31/2022
92,Akali,16,TOP,8,11,12,13247,160,23734,True,2,True,False,False,False,0,0,0,0,20.32,3/31/2022
93,Rengar,15,JUNGLE,6,6,3,12747,179,15665,False,0,False,False,False,False,0,0,2,3,28.64,3/31/2022
94,Irelia,16,MIDDLE,4,6,6,12434,218,15568,True,1,False,False,False,False,1,2,0,0,16.9,3/31/2022
95,Irelia,18,MIDDLE,5,6,3,16351,278,14961,True,1,False,False,False,False,0,1,1,2,18.61,3/31/2022
96,Kayle,18,TOP,11,5,1,17999,275,31877,False,0,True,False,False,False,0,0,2,3,35.31,3/31/2022
97,Irelia,13,TOP,4,10,4,10039,170,15215,False,0,False,True,False,False,0,0,1,0,19.33,3/31/2022
98,Irelia,13,MIDDLE,5,7,2,9331,154,12550,False,0,True,False,False,False,0,0,1,0,19.47,3/31/2022
