,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage,rank
39,Ezreal,15,BOTTOM,9,3,6,13556,219,23684,True,1,False,True,False,False,1,1,0,1,31.88,Gold
40,Kaisa,15,BOTTOM,10,4,6,13322,204,19476,True,1,False,True,False,False,1,1,0,1,21.56,Gold
41,Trundle,17,JUNGLE,12,3,13,14643,42,28943,True,1,False,False,False,False,0,0,0,0,25.93,Gold
42,LeeSin,15,JUNGLE,2,6,15,11222,30,13376,False,0,False,False,True,False,0,0,1,4,15.02,Gold
43,Viktor,16,MIDDLE,7,5,8,13215,202,20721,True,1,False,False,False,False,0,0,0,3,31.57,Gold
44,Ezreal,15,BOTTOM,6,9,12,14693,210,36559,False,1,True,False,False,True,0,0,2,4,32.24,Gold
45,Kennen,14,TOP,5,8,4,10495,157,14418,False,0,True,False,False,False,0,0,2,3,21.7,Gold
46,LeeSin,13,JUNGLE,3,11,6,8948,26,11805,False,0,False,False,False,False,0,0,1,0,16.76,Gold
47,LeeSin,15,JUNGLE,0,11,13,10755,49,13442,False,0,True,False,False,False,0,0,1,0,12.48,Gold
48,Ezreal,13,BOTTOM,6,1,1,11514,214,18753,True,1,False,True,False,False,1,1,0,0,41.83,Gold
49,Jinx,14,BOTTOM,3,9,3,11792,223,13375,False,0,False,False,False,True,0,0,2,5,15.36,Gold
50,LeeSin,12,JUNGLE,6,6,2,9219,51,7354,False,0,False,True,False,False,0,0,3,0,10.92,Gold
51,LeeSin,11,JUNGLE,3,10,2,7058,19,9546,False,0,False,False,False,False,0,0,2,0,19.08,Gold
52,LeeSin,13,JUNGLE,7,2,8,9866,22,8631,True,0,False,False,False,True,0,1,0,0,10.56,Gold
53,LeeSin,8,NONE,2,3,0,4286,7,3606,False,0,False,False,False,False,0,0,0,0,22.18,Gold
54,LeeSin,17,JUNGLE,7,3,13,15112,67,19669,True,0,False,False,False,False,0,2,0,2,17.88,Gold
55,LeeSin,14,JUNGLE,4,7,5,10174,39,9188,False,0,False,False,False,False,0,0,1,2,17.87,Gold
56,LeeSin,17,JUNGLE,7,3,16,15728,45,21389,True,2,False,False,False,False,1,1,0,0,22.78,Gold
57,LeeSin,12,JUNGLE,5,7,2,8621,19,9929,False,0,False,False,False,False,0,0,1,0,20.23,Gold
58,LeeSin,14,JUNGLE,8,3,15,11502,26,15223,True,0,False,False,False,True,1,1,0,4,18.47,Gold
59,LeeSin,17,JUNGLE,14,8,19,16584,46,28837,True,1,False,False,False,False,0,0,0,0,28.32,Gold
60,LeeSin,14,JUNGLE,9,1,14,11086,28,11184,True,0,True,False,False,True,1,2,0,3,15.9,Gold
61,LeeSin,16,JUNGLE,8,11,10,13924,51,31966,False,0,False,False,False,False,0,0,1,2,28.02,Gold
0,Urgot,17,JUNGLE,18,5,8,20157,206,32626,True,2,False,False,False,True,2,2,0,8,30.15,Challenger
1,Renekton,18,TOP,5,9,12,17512,264,33194,True,1,False,False,False,True,0,0,0,5,20.85,Challenger
2,Jayce,15,MIDDLE,4,9,4,11475,191,19166,False,0,False,False,False,False,0,0,3,2,35.65,Challenger
3,Graves,17,MIDDLE,9,5,6,16002,227,28725,True,1,False,False,False,False,0,1,0,2,39.34,Challenger
4,Gangplank,17,TOP,4,6,5,14861,236,20854,True,1,False,False,False,False,0,0,0,4,27.93,Challenger
5,Gangplank,13,NONE,2,2,6,8255,126,10897,True,0,False,False,False,False,1,1,0,1,19.13,Challenger
6,Jayce,18,JUNGLE,8,6,9,19917,263,34611,True,2,False,False,False,False,0,1,1,6,26.18,Challenger
7,Jayce,14,MIDDLE,6,3,6,13119,179,24432,True,1,False,False,False,False,0,1,0,3,32.46,Challenger
8,Camille,15,TOP,14,1,6,13342,166,23191,True,0,False,False,False,True,0,0,0,5,37.42,Challenger
