,ChampionName,ChampionLevel,Lane,Kills,Deaths,Assists,Gold_Earned,Total_Minions_Killed,Total_damages_to_champs,Win/Lose,TeamBaronKills,FirstBloodAssist,FirstBloodKill,FirstTowerAssist,FirstTowerKill,InhibitorKills,InhibitorTakedowns,InhibitorsLost,TurretPlatesTaken,TotalDamageDealtToChampions_Percentage
80,Irelia,15,TOP,5,4,2,10800,199,8553,True,1,False,False,False,False,1,1,0,4,13.56
81,Irelia,16,TOP,7,8,5,15839,210,17727,True,1,False,False,False,False,0,1,2,5,17.39
82,Jayce,11,NONE,2,2,0,5730,122,4392,False,0,False,False,False,False,0,0,0,1,19.17
83,Kennen,18,MIDDLE,5,6,10,15555,239,18838,True,1,False,False,False,False,0,1,0,0,15.51
84,Kennen,12,TOP,0,3,1,6321,163,7965,False,0,False,False,False,False,0,0,1,0,19.09
85,Rengar,15,TOP,7,4,1,14024,210,13485,False,0,False,False,False,True,0,0,1,5,27.32
86,Akali,18,TOP,14,9,13,15743,194,37785,False,0,False,False,False,False,0,0,3,0,31.92
87,Irelia,18,TOP,5,9,6,17129,307,27883,True,2,False,False,False,False,1,1,3,0,21.94
88,Jayce,13,TOP,5,3,2,9938,144,15841,False,0,False,False,True,False,0,0,0,5,32.06
89,Irelia,15,MIDDLE,9,4,3,14149,194,28190,True,0,False,False,False,False,0,1,0,4,40.64
90,Irelia,13,TOP,5,5,2,9370,163,8790,False,0,False,False,False,False,0,0,1,0,23.06
91,Kennen,14,TOP,2,3,6,8477,142,10926,True,1,False,False,False,False,1,3,0,1,14.0
92,Kaisa,12,JUNGLE,4,12,6,9184,145,12543,False,0,False,False,False,False,0,0,2,0,25.65
93,Akali,16,TOP,13,6,14,14469,127,26827,True,1,False,False,True,False,0,2,0,5,25.58
94,Kennen,17,TOP,11,7,11,14339,163,33329,True,2,False,False,False,False,0,1,0,1,25.84
95,Kennen,13,TOP,5,1,4,9732,127,14408,True,0,False,False,True,False,0,0,0,7,18.47
96,Irelia,15,BOTTOM,9,7,8,14898,201,18219,False,0,False,False,False,False,0,0,1,7,21.98
97,Yuumi,9,BOTTOM,1,6,4,5432,4,3696,False,0,False,False,False,False,0,0,2,1,10.17
